exp,meson,target,observable,Q2,xB,t,value,stat,syst,Ebeam,in_fit,source
CLAS6_demasi,pi0,p,A_LU^sinphi,3.55,0.508,-0.348,0.1231,0.0663,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,3.55,0.508,-0.506,0.0592,0.0363,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,3.55,0.508,-0.776,0.12,0.0268,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,3.55,0.508,-1.321,0.0829,0.0284,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,4.4,0.517,-0.355,0.0684,0.0747,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,4.4,0.517,-0.505,0.0684,0.0328,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,4.4,0.517,-0.78,0.09,0.0223,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,4.4,0.517,-1.317,0.0796,0.0258,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_zhao,eta,p,A_LU^sinphi,1.51,0.21,-0.26,0.212,0.035,0.0478,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,1.51,0.21,-0.579,0.0951,0.034,0.0243,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,1.51,0.21,-1.15,0.1231,0.037,0.0393,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,1.79,0.21,-0.258,0.147,0.04,0.0346,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,1.79,0.21,-0.577,0.133,0.034,0.0218,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,1.79,0.21,-1.13,0.163,0.043,0.0367,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,2.26,0.37,-0.318,0.2081,0.0597,0.0641,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,2.26,0.37,-0.593,0.1377,0.0313,0.0366,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,2.26,0.37,-1.19,0.1436,0.0293,0.0395,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,3.1,0.4,-0.318,0.1944,0.0733,0.0447,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,3.1,0.4,-0.601,0.1827,0.0381,0.0437,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS6_zhao,eta,p,A_LU^sinphi,3.1,0.4,-1.21,0.2042,0.0313,0.0438,5.776,yes,"Zhao et al., PLB 789 426 (2019), figure 5 read from the vector PDF"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.5495,0.2952,-0.3255,0.0711,0.0246,0.0241,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.553,0.2959,-0.626,0.0655,0.0222,0.0307,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.6203,0.2843,-1.3359,0.0253,0.025,0.0337,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.8677,0.3915,-0.3356,0.0259,0.0173,0.0242,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.9663,0.3955,-0.6188,0.0608,0.014,0.0227,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,3.1997,0.3948,-1.2711,0.0432,0.02,0.0289,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.5846,0.368,-0.3584,0.1259,0.0381,0.0468,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.725,0.38,-0.654,0.029,0.0338,0.0277,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.6608,0.3691,-1.3596,0.0726,0.0325,0.03,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,3.6891,0.4832,-0.5091,0.0198,0.0217,0.0257,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
