exp,meson,target,group,Q2,xB,t,tmin,tprime,xB_mean,Q2_bin,xB_bin,t_bin,eps,npts_phi,Ebeam,sigma_meaning,chi2ndf_phi,chi2ndf_phi_rc,in_fit,source,s_u,stat_U,sys_U,s_LT,stat_LT,sys_LT,s_TT,stat_TT,sys_TT,s_u_rc,stat_U_rc,sys_U_rc,s_LT_rc,stat_LT_rc,sys_LT_rc,s_TT_rc,stat_TT_rc,sys_TT_rc
CLAS6_y12,pi0,p,pi006,1.951538,0.312846,-0.349154,0.1160634873373247,0.2330905126626753,0.312846,1.95,0.313,-0.35,0.674325,13.0,5.75,sigma_U,0.699857,0.701131,yes,"PRC 90 025205 (2014) supplemental, phi table",470.609426,44.43138,82.106325,-12.688361,33.697134,17.5685,-184.697617,77.052477,58.538043,460.568844,43.639305,80.354564,-16.967194,33.190431,23.493038,-184.683884,74.884776,58.53369
CLAS6_y12,pi0,p,pi006,1.952,0.313,-0.4956,0.1161938942780465,0.3794061057219535,0.313,1.95,0.313,-0.49,0.67449,15.0,5.75,sigma_U,1.273163,1.282253,yes,"PRC 90 025205 (2014) supplemental, phi table",339.093714,23.11904,21.005805,21.1066,15.227395,34.17259,-141.141811,50.079333,43.350699,330.951649,22.596906,20.50143,15.119746,14.773473,24.479589,-147.28638,48.278261,45.237959
CLAS6_y12,pi0,p,pi006,1.95,0.313,-0.782933,0.1161855695586751,0.6667474304413249,0.313,1.95,0.313,-0.78,0.675233,15.0,5.75,sigma_U,1.17308,1.184516,yes,"PRC 90 025205 (2014) supplemental, phi table",201.706422,12.173161,12.981106,-11.218589,9.437243,5.861965,-67.085602,30.677572,23.029386,196.649499,11.912077,12.655661,-15.109883,9.055779,7.895254,-72.722531,29.651603,24.964451
CLAS6_y12,pi0,p,pi006,1.952,0.313133,-1.219533,0.116304930872595,1.103228069127405,0.313133,1.95,0.313,-1.22,0.674781,15.0,5.75,sigma_U,1.646069,1.622159,yes,"PRC 90 025205 (2014) supplemental, phi table",129.377617,9.631346,16.997059,-24.820344,8.304912,6.705496,-39.535451,22.431876,21.28832,126.472546,9.462414,16.615404,-26.364949,8.075224,7.122789,-41.980283,21.800603,22.604768
CLAS6_y12,pi0,p,pi007,2.099231,0.238077,-0.119923,0.06339872205387653,0.05652427794612347,0.238077,2.1,0.238,-0.12,0.31347,13.0,5.75,sigma_U,0.405919,0.401978,yes,"PRC 90 025205 (2014) supplemental, phi table",258.185279,32.8314,81.058169,80.302834,51.908284,110.797581,183.065916,128.631944,222.951786,248.436589,31.437232,77.997534,71.953493,49.689593,99.277605,172.093638,123.814971,209.5889
CLAS6_y12,pi0,p,pi007,2.099375,0.238,-0.349312,0.06335363417803208,0.2859583658219679,0.238,2.1,0.238,-0.35,0.3129,16.0,5.75,sigma_U,1.868297,1.876153,yes,"PRC 90 025205 (2014) supplemental, phi table",218.554519,17.792624,8.083523,96.352061,31.899513,10.142322,92.947773,73.239508,46.984588,209.756071,16.990203,7.758101,85.53697,30.4426,9.003892,79.556932,70.744259,40.215592
CLAS6_y12,pi0,p,pi007,2.1,0.238,-0.495563,0.06335420199526487,0.4322087980047351,0.238,2.1,0.238,-0.49,0.312458,16.0,5.75,sigma_U,1.498533,1.499499,yes,"PRC 90 025205 (2014) supplemental, phi table",132.483682,8.857733,12.998399,-54.02044,14.833974,9.173282,-109.080413,42.554287,29.08811,128.637559,8.550544,12.621044,-56.671894,14.282028,9.623529,-110.813776,41.350793,29.55034
CLAS6_y12,pi0,p,pi007,2.1,0.238286,-0.777929,0.06352225680732149,0.7144067431926785,0.238286,2.1,0.238,-0.78,0.314193,14.0,5.75,sigma_U,1.064564,1.044714,yes,"PRC 90 025205 (2014) supplemental, phi table",92.646823,8.936693,9.204652,-8.051957,12.734633,12.077936,21.292392,35.583757,32.44555,89.924551,8.720334,8.934189,-9.798839,12.546753,14.698258,16.068747,34.557739,24.485709
CLAS6_y12,pi0,p,pi007,2.1,0.238818,-1.215818,0.06383555343863456,1.151982446561366,0.238818,2.1,0.238,-1.21,0.317412,11.0,5.75,sigma_U,0.855353,0.857276,yes,"PRC 90 025205 (2014) supplemental, phi table",40.219154,21.130937,16.087662,-6.524451,35.367179,33.709663,-23.443793,43.972472,27.520975,38.988495,20.736572,15.595398,-6.113921,34.720511,31.58859,-25.563531,42.901435,30.009363
CLAS6_y12,pi0,p,pi007,2.101333,0.238133,-0.174667,0.06343353475966129,0.1112334652403387,0.238133,2.1,0.238,-0.17,0.312325,15.0,5.75,sigma_U,1.567433,1.559083,yes,"PRC 90 025205 (2014) supplemental, phi table",228.255498,29.375804,148.16585,-14.631436,51.175177,298.2562,-7.932828,128.284307,303.713978,220.524331,28.153382,143.147373,-19.151863,48.961901,390.403366,-9.439854,124.025833,361.411552
