    1.87000     0.27083     0.34906   363.82355    13.43653    25.29255    21.03025    12.52336    15.57796  -294.77673    27.05022    41.24862
    1.87000     0.27100     0.49656   252.02607     7.15991    12.62558    18.20564     6.87255     4.42448  -173.95140    18.02277    14.58275
    1.87000     0.27100     0.78011   147.78918     3.99034     7.59391     2.05865     4.02291     1.83349   -65.44685    11.55273     5.10264
    1.87000     0.27155     1.21670    76.09691     2.92770     5.38652    -7.42493     2.22664     3.64733   -39.90826     7.07063     6.13973
    1.87056     0.27211     1.71900    38.76407     2.07749     3.46108    -7.29218     1.87338     1.97931   -23.25135     4.55275     3.85830
    1.95154     0.31285     0.34915   460.56884    43.63931    80.35456   -16.96719    33.19043    23.49304  -184.68388    74.88478    58.53369
    1.95200     0.31300     0.49560   330.95165    22.59691    20.50143    15.11975    14.77347    24.47959  -147.28638    48.27826    45.23796
    1.95000     0.31300     0.78293   196.64950    11.91208    12.65566   -15.10988     9.05578     7.89525   -72.72253    29.65160    24.96445
    1.95200     0.31313     1.21953   126.47255     9.46241    16.61540   -26.36495     8.07522     7.12279   -41.98028    21.80060    22.60477
    2.09923     0.23808     0.11992   248.43659    31.43723    77.99753    71.95349    49.68959    99.27760   172.09364   123.81497   209.58890
    2.09938     0.23800     0.34931   209.75607    16.99020     7.75810    85.53697    30.44260     9.00389    79.55693    70.74426    40.21559
    2.10000     0.23800     0.49556   128.63756     8.55054    12.62104   -56.67189    14.28203     9.62353  -110.81378    41.35079    29.55034
    2.10000     0.23829     0.77793    89.92455     8.72033     8.93419    -9.79884    12.54675    14.69826    16.06875    34.55774    24.48571
    2.10000     0.23882     1.21582    38.98850    20.73657    15.59540    -6.11392    34.72051    31.58859   -25.56353    42.90143    30.00936
    2.10133     0.23813     0.17467   220.52433    28.15338   143.14737   -19.15186    48.96190   390.40337    -9.43985   124.02583   361.41155
    2.10067     0.23800     0.24900   231.10915    19.32758    23.11091    48.81724    34.87039    25.69328    39.53315    81.41970    89.15987
    2.20875     0.27444     0.12194   235.66198    24.75136    10.75636   -45.31615    35.14597     9.26921    27.19174    57.04093    15.93999
    2.20850     0.27605     0.17505   251.80221    12.14237    17.63595    -7.57281    16.26905    16.40775   -13.07536    36.66619    41.23767
    2.21000     0.27600     0.24855   261.31898     9.57417    18.47121   -11.12020    13.16279    37.06732   -57.22474    28.04221    31.79153
    2.21000     0.27600     0.34922   233.64166    10.54902    10.62008    25.16831    14.06281     9.43812  -109.77002    32.43268    23.67589
